form	lemma	POS	morph
མེ་ལོང་	མེ་ལོང་	NOUN
ནང་	ནང་	NOUN
གི་	གི་	PART
གཟུགས་བརྙན་	གཟུགས་བརྙན་	NOUN
དང་	དང་	NO_POS
སྔོན་པོ་	སྔོན་པོ་	ADJ
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྣང་བ་	སྣང་བ་	VERB
ལྟ་	ལྟ་	OTHER
མ་གྲུབ་པ་	མ་གྲུབ་པ་	NO_POS
ར་	ལ་	PART
མཚུངས་པ་	མཚུངས་པ་	VERB
ར་	ལ་	PART
བཞེད་	བཞེད་	VERB
ཅིང་	ཅིང་	PART
ཟླ་བ་	ཟླ་བ་	NOUN
གཉིས་	གཉིས་	NUM
སྣང་	སྣང་	VERB
གི་	གི་	PART
དབང་ཤེས་	དབང་ཤེས་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
ཚུ་		
མཐོང་	མཐོང་	VERB
གི་	གི་	PART
སྔོན་	སྔོན་	ADV
སྣང་	སྣང་	VERB
དབང་ཤེས་	དབང་ཤེས་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
འཁྲུལ་ཤེས་	འཁྲུལ་ཤེས་	NO_POS
སུ་	ལ་	PART
ཡང་	ཀྱང་	PART
མཚུངས་པ་	མཚུངས་པ་	VERB
ར་	ལ་	PART
བཞེད་	བཞེད་	VERB
དོ་	གོ་	PART
། །		PUNCT
ཡང་ན་	ཡང་ན་	NO_POS
དོགས་པ་	དོགས་པ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
གཞན་	གཞན་	DET
ཞིག་	ཅིག་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
འདི་ལྟར་	འདི་ལྟར་	NO_POS
།		PUNCT
ཟླ་བ་	ཟླ་བ་	NOUN
གྲགས་པ་	གྲགས་པ་	VERB
རང་ལུགས་	རང་ལུགས་	NOUN
ལ་	ལ་	PART
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
འི་	གི་	PART
