form	lemma	POS	morph
དཀར་ཆག་	དཀར་ཆག་	NOUN
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ཞུ་	ཞུ་	VERB
ཚིག་	ཚིག་	NOUN
		
བསྡུ་	བསྡུ་	VERB
སྒྲིག་	སྒྲིག་	VERB
གསལ་	གསལ་	VERB
བཤད་	བཤད་	VERB
།		PUNCT
		
གུང་རུ་	གུང་རུ་	OTHER
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
རྣམ་	རྣམ་	NOUN
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
།		PUNCT
		
༄༅། །		PUNCT
གུང་རུ་	གུང་རུ་	OTHER
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
བྱམས་པ་	བྱམས་པ་	PROPN
འི་	གི་	PART
དགོངས་	དགོངས་	VERB
རྒྱན་	རྒྱན་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཀ་	ཀ་	DET
		
ཀླད་	ཀླད་	NOUN
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
།		PUNCT
		
ཀ་	ཀ་	DET
		
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ཁ་	ཁ་	PRON
		
རྒྱན་	རྒྱན་	NOUN
གྱི་	གི་	PART
བཤད་པ་	བཤད་པ་	VERB
ལ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
།		PUNCT
		
ཁ་	ཁ་	PRON
		
བཤད་པ་	བཤད་པ་	VERB
ཉེ་བ་		
དགོད་པ་	དགོད་པ་	VERB
།		PUNCT
		
ག་	ག་	PRON
		
མཆོད་པ་	མཆོད་པ་	VERB
ར་	ལ་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
།		PUNCT
		
ག་	ག་	PRON
		
དགོས་འབྲེལ་	དགོས་འབྲེལ་	NO_POS
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ག་	ག་	PRON
		
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
ཀྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ང་	ང་	PRON
		
བསྡུས་དོན་	བསྡུས་དོན་	NOUN
ལུས་	ལུས་	NOUN
རྣམ་གཞག་	རྣམ་གཞག་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ང་	ང་	PRON
		
ཚིག་དོན་	ཚིག་དོན་	NOUN
ཡན་ལག་	ཡན་ལག་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ཅ་	ཅ་	OTHER
		
ཡུལ་	ཡུལ་	NOUN
མཁྱེན་	མཁྱེན་	VERB
གསུམ་	གསུམ་	NUM
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
སྐབས་	སྐབས་	NOUN
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
རྣམ་མཁྱེན་	རྣམ་མཁྱེན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
		
ཆ་	ཆ་	NOUN
		
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
