form	lemma	POS	morph
སྨྲ་	སྨྲ་	VERB
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
།		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
སྐྱོན་	སྐྱོན་	NOUN
དེ་	སྟེ་	PART
གཞན་	གཞན་	DET
གྱིས་	གིས་	PART
ཤེ་	ཤེ་	VERB
ན་	ལ་	PART
ནི་	ནི་	NO_POS
།		PUNCT
སྨྲ་བ་པོ་	སྨྲ་བ་པོ་	VERB
ལ་	ལ་	PART
ཁྲོ་བ་	ཁྲོ་བ་	VERB
ར་	ལ་	PART
མི་རིགས་	མི་རིགས་	NOUN
ན་	ལ་	PART
༑		PUNCT
རང་	རང་	PRON
ལ་	ལ་	PART
སྐྱོན་མེད་	སྐྱོན་མེད་	ADJ
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
།		PUNCT
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
ར་	ལ་	PART
		
		
ན་	ལ་	PART
		
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
འཕགས་པ་	འཕགས་པ་	VERB
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
བྱིས་པ་	བྱིས་པ་	NOUN
འང་	ཀྱང་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
།		PUNCT
མངོན་སུམ་	མངོན་སུམ་	NOUN
དུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
ན་	ལ་	PART
།		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
དེ་	སྟེ་	PART
ལ་	ལ་	PART
སེམས་	སེམས་	NOUN
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
ལུས་	ལུས་	NOUN
མི་རྟག་	མི་རྟག་	OTHER
གཏན་	གཏན་	NOUN
དུ་	ལ་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
ར་	ལ་	PART
འགྱུར་བ་	འགྱུར་བ་	VERB
ཞིག་	ཅིག་	PART
ན་	ལ་	PART
།		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
མ་	མ་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
ས་	གིས་	PART
བདེ་བ་	བདེ་བ་	VERB
ལྟ་	ལྟ་	OTHER
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
རོ་	རོ་	NOUN
། །		PUNCT
ཇི་སྐད་	ཇི་སྐད་	NO_POS
དུ་	ལ་	PART
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
སྡིག་པ་	སྡིག་པ་	VERB
ཡི་	གི་	PART
།		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
ཇི་	ཇི་	NO_POS
འདྲ་	འདྲ་	VERB
མཁྱེན་	མཁྱེན་	VERB
ཇི་ལྟ་		
།		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བྱིས་པ་	བྱིས་པ་	NOUN
ས་	གིས་	PART
ཤེ་	ཤེ་	VERB
ན་	ལ་	PART
དེ་	སྟེ་	PART
། །		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
དེ་	སྟེ་	PART
ལ་	ལ་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
ཞེ་	ཅེས་	PART
སོ་	གོ་	PART
། །		PUNCT
